,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,619,56,282,19.9%,20.36%,19.02%,957
Not,2492,219,1201,80.1%,79.64%,80.98%,3912
Total,3111,275,1483,100.0%,100.0%,100.0%,4869
