,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,244,20,121,8.21%,7.63%,8.56%,385
Not,2729,242,1293,91.79%,92.37%,91.44%,4264
Total,2973,262,1414,100.0%,100.0%,100.0%,4649
