,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
White,3297,292,1918,46.75%,47.48%,54.74%,5507
Black,364,35,185,5.16%,5.69%,5.28%,584
Others,3391,288,1401,48.09%,46.83%,39.98%,5080
Total,7052,615,3504,100.0%,100.0%,100.0%,11171
