,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,5741,460,2031,77.91%,73.48%,63.99%,8232
Not,1628,166,1143,22.09%,26.52%,36.01%,2937
Total,7369,626,3174,100.0%,100.0%,100.0%,11169
