,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,3906,274,782,57.9%,47.65%,28.49%,4962
Not,2840,301,1963,42.1%,52.35%,71.51%,5104
Total,6746,575,2745,100.0%,100.0%,100.0%,10066
