,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,769,53,264,12.81%,10.02%,10.03%,1086
Not,5232,476,2368,87.19%,89.98%,89.97%,8076
Total,6001,529,2632,100.0%,100.0%,100.0%,9162
