,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
North,568,69,269,7.0%,9.93%,6.88%,906
Northeast,1500,88,426,18.48%,12.66%,10.9%,2014
Southeast,3582,221,1675,44.13%,31.8%,42.85%,5478
South,1394,197,1154,17.17%,28.35%,29.52%,2745
Midwest,1073,120,385,13.22%,17.27%,9.85%,1578
Total,8117,695,3909,100.0%,100.0%,100.0%,12721
