,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,54,8,50,1.84%,3.11%,3.54%,112
Not,2882,249,1361,98.16%,96.89%,96.46%,4492
Total,2936,257,1411,100.0%,100.0%,100.0%,4604
