,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,1624,152,907,26.11%,27.84%,32.07%,2683
Not,4595,394,1921,73.89%,72.16%,67.93%,6910
Total,6219,546,2828,100.0%,100.0%,100.0%,9593
