,Gamma,Delta,Omicron,Gamma_Percentage,Delta_Percentage,Omicron_Percentage,Total
Yes,1086,96,112,18.09%,18.29%,4.37%,1294
Not,4917,429,2451,81.91%,81.71%,95.63%,7797
Total,6003,525,2563,100.0%,100.0%,100.0%,9091
